ticker,announcement_date,timing_class,entry_date,exit_date,signal,position_dir,entry_price,exit_price,holding_period_days,gross_return,transaction_cost,net_return,market_return,abnormal_return
JPM,2023-04-14,BMO,2023-04-14,2023-04-21,1,1.0,138.73,140.54,5,0.013047,0.002,0.011047,-0.00063,0.013677
AMZN,2023-04-27,AMC,2023-04-28,2023-05-05,1,1.0,105.45,105.66,5,0.001992,0.002,-8e-06,-0.007934,0.009926
NVDA,2023-05-24,AMC,2023-05-25,2023-06-02,1,1.0,37.98,39.33,5,0.035466,0.002,0.033466,0.032003,0.003463
COST,2023-06-01,BMO,2023-06-01,2023-06-08,-1,-1.0,512.6,520.09,5,-0.014612,0.002,-0.016612,0.01733,0.002718
JPM,2023-07-14,BMO,2023-07-14,2023-07-21,1,1.0,149.77,154.95,5,0.034586,0.002,0.032586,0.006455,0.028132
XOM,2023-07-28,BMO,2023-07-28,2023-08-04,-1,-1.0,104.16,107.42,5,-0.031298,0.002,-0.033298,-0.022126,-0.053424
AMZN,2023-08-03,AMC,2023-08-04,2023-08-11,1,1.0,139.57,138.41,5,-0.008311,0.002,-0.010311,-0.002596,-0.005715
NVDA,2023-08-23,AMC,2023-08-24,2023-08-31,1,1.0,47.16,49.35,5,0.046477,0.002,0.044477,0.030809,0.015668
META,2023-10-25,AMC,2023-10-26,2023-11-02,1,1.0,288.35,310.87,5,0.078099,0.002,0.076099,0.04414,0.033959
AMZN,2023-10-26,AMC,2023-10-27,2023-11-03,1,1.0,127.74,138.6,5,0.085017,0.002,0.083017,0.058464,0.026552
CVX,2023-10-27,BMO,2023-10-27,2023-11-03,-1,-1.0,144.35,147.61,5,-0.022584,0.002,-0.024584,0.058464,0.03588
XOM,2023-10-27,BMO,2023-10-27,2023-11-03,-1,-1.0,105.55,107.78,5,-0.021127,0.002,-0.023127,0.058464,0.037337
WMT,2023-11-16,BMO,2023-11-16,2023-11-24,-1,-1.0,52.01,52.02,5,-0.000128,0.002,-0.002128,0.011261,0.011133
BAC,2024-01-12,BMO,2024-01-12,2024-01-22,-1,-1.0,32.8,32.55,5,0.007622,0.002,0.005622,0.014202,0.021824
JPM,2024-01-12,BMO,2024-01-12,2024-01-22,-1,-1.0,169.05,170.11,5,-0.00627,0.002,-0.00827,0.014202,0.007932
AMZN,2024-02-01,AMC,2024-02-02,2024-02-09,1,1.0,171.81,174.45,5,0.015366,0.002,0.013366,0.013857,0.001509
BAC,2024-04-16,BMO,2024-04-16,2024-04-23,-1,-1.0,34.68,38.37,5,-0.106401,0.002,-0.108401,0.00421,-0.102191
GOOGL,2024-04-25,AMC,2024-04-26,2024-05-03,1,1.0,171.95,167.24,5,-0.027392,0.002,-0.029392,0.005962,-0.033353
XOM,2024-04-26,BMO,2024-04-26,2024-05-03,-1,-1.0,117.96,116.0,5,0.016616,0.002,0.014616,0.005962,0.022577
AMZN,2024-08-01,UNKNOWN,2024-08-02,2024-08-09,1,1.0,167.9,166.94,5,-0.005718,0.002,-0.007718,0.000169,-0.005886
CVX,2024-08-02,BMO,2024-08-02,2024-08-09,-1,-1.0,148.55,144.99,5,0.023965,0.002,0.021965,0.000169,0.024134
AMZN,2024-10-31,AMC,2024-11-01,2024-11-08,1,1.0,197.93,208.18,5,0.051786,0.002,0.049786,0.047545,0.004241
