gross_return,transaction_cost,net_return,turnover,long_exposure,short_exposure,gross_exposure,net_exposure,benchmark_return,cumulative_gross,cumulative_net,cumulative_benchmark
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029054507793579987,0.002739066650804922,0.002418336531163856,0.027559412836466235
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008714189935286054,0.002739066650804922,0.002418336531163856,0.01860506494321834
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009865229178805723,0.002739066650804922,0.002418336531163856,0.02865383735157545
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009333555891163359,0.002739066650804922,0.002418336531163856,0.019052839267994948
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029288531513849136,0.002739066650804922,0.002418336531163856,0.019351304879966724
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003464968528515411,0.002739066650804922,0.002418336531163856,0.01581928468905658
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006317377885411313,0.002739066650804922,0.002418336531163856,0.022236598973725652
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013625907431599193,0.002739066650804922,0.002418336531163856,0.02084370884664488
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012962274335038826,0.002739066650804922,0.002418336531163856,0.03407616505391364
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006783103358974252,0.002739066650804922,0.002418336531163856,0.04109041056252605
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028668558363764696,0.002739066650804922,0.002418336531163856,0.041388876174497824
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042992699484945,0.002739066650804922,0.002418336531163856,0.04586608807453141
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019026310160862314,0.002739066650804922,0.002418336531163856,0.04387619081668803
